shear_layer_ROM 200 200 1.000e+100
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
99           1.00000000e-02   9.80000000e-01   2.54294735e-04   3.92481186e-17   3.94784176e+01  -4.05694900e-17   3.68711987e+01 
100          1.00000000e-02   9.90000000e-01   2.56229325e-04   3.85975973e-17   3.94784176e+01  -3.31630340e-17   3.68711987e+01 
101          1.00000000e-02   1.00000000e+00   2.58132494e-04   3.79470760e-17   3.94784176e+01   6.70850094e-19   3.68711987e+01 
102          1.00000000e-02   1.01000000e+00   2.60108900e-04   3.45860493e-17   3.94784176e+01  -3.36102673e-17   3.68711987e+01 
103          1.00000000e-02   1.02000000e+00   2.62043004e-04   3.55618313e-17   3.94784176e+01  -2.89007642e-17   3.68711987e+01 
104          1.00000000e-02   1.03000000e+00   2.64044441e-04   3.42336836e-17   3.94784176e+01   6.19350491e-18   3.68711987e+01 
105          1.00000000e-02   1.04000000e+00   2.66020902e-04   3.40439482e-17   3.94784176e+01   1.05303136e-17   3.68711987e+01 
106          1.00000000e-02   1.05000000e+00   2.68035299e-04   3.83807569e-17   3.94784176e+01  -4.17417836e-18   3.68711987e+01 
107          1.00000000e-02   1.06000000e+00   2.70054978e-04   3.64834031e-17   3.94784176e+01  -6.60821224e-17   3.68711987e+01 
108          1.00000000e-02   1.07000000e+00   2.72080813e-04   3.85975973e-17   3.94784176e+01  -1.11672824e-17   3.68711987e+01 
109          1.00000000e-02   1.08000000e+00   2.74144592e-04   3.42607887e-17   3.94784176e+01  -2.17450298e-17   3.68711987e+01 
110          1.00000000e-02   1.09000000e+00   2.76180303e-04   3.81639165e-17   3.94784176e+01  -2.17179248e-17   3.68711987e+01 
111          1.00000000e-02   1.10000000e+00   2.78289088e-04   3.66460334e-17   3.94784176e+01  -5.65140382e-18   3.68711987e+01 
112          1.00000000e-02   1.11000000e+00   2.80353115e-04   3.51281504e-17   3.94784176e+01  -2.75116301e-18   3.68711987e+01 
113          1.00000000e-02   1.12000000e+00   2.82487797e-04   3.89228580e-17   3.94784176e+01  -4.12064588e-17   3.68711987e+01 
114          1.00000000e-02   1.13000000e+00   2.84597348e-04   3.73507648e-17   3.94784176e+01  -2.16704909e-17   3.68711987e+01 
115          1.00000000e-02   1.14000000e+00   2.86740034e-04   3.85975973e-17   3.94784176e+01   1.00288701e-18   3.68711987e+01 
116          1.00000000e-02   1.15000000e+00   2.88896044e-04   3.94649591e-17   3.94784176e+01  -8.38223805e-18   3.68711987e+01 
117          1.00000000e-02   1.16000000e+00   2.91045098e-04   3.59955121e-17   3.94784176e+01  -1.93801138e-18   3.68711987e+01 
118          1.00000000e-02   1.17000000e+00   2.93248530e-04   3.83807569e-17   3.94784176e+01  -1.53617895e-17   3.68711987e+01 
119          1.00000000e-02   1.18000000e+00   2.95404706e-04   3.42607887e-17   3.94784176e+01  -5.17706537e-18   3.68711987e+01 
120          1.00000000e-02   1.19000000e+00   2.97654113e-04   3.59955121e-17   3.94784176e+01  -2.24294324e-18   3.68711987e+01 
121          1.00000000e-02   1.20000000e+00   2.99858196e-04   3.45589442e-17   3.94784176e+01  -2.13452303e-17   3.68711987e+01 
122          1.00000000e-02   1.21000000e+00   3.02112085e-04   3.81639165e-17   3.94784176e+01  -1.59784295e-17   3.68711987e+01 
123          1.00000000e-02   1.22000000e+00   3.04365073e-04   3.81639165e-17   3.94784176e+01  -2.02474756e-17   3.68711987e+01 
124          1.00000000e-02   1.23000000e+00   3.06621719e-04   3.95733793e-17   3.94784176e+01  -1.50636339e-17   3.68711987e+01 
125          1.00000000e-02   1.24000000e+00   3.08924640e-04   3.84010857e-17   3.94784176e+01  -1.07878116e-17   3.68711987e+01 
126          1.00000000e-02   1.25000000e+00   3.11182266e-04   3.65376132e-17   3.94784176e+01  -3.92142373e-17   3.68711987e+01 
127          1.00000000e-02   1.26000000e+00   3.13536180e-04   3.78386558e-17   3.94784176e+01  -2.29037709e-17   3.68711987e+01 
128          1.00000000e-02   1.27000000e+00   3.15839322e-04   3.67544536e-17   3.94784176e+01  -2.95716143e-17   3.68711987e+01 
129          1.00000000e-02   1.28000000e+00   3.18198958e-04   3.70797143e-17   3.94784176e+01  -4.60785923e-18   3.68711987e+01 
130          1.00000000e-02   1.29000000e+00   3.20553553e-04   3.56702515e-17   3.94784176e+01   3.38813179e-20   3.68711987e+01 
131          1.00000000e-02   1.30000000e+00   3.22912214e-04   3.51281504e-17   3.94784176e+01  -2.06269463e-17   3.68711987e+01 
132          1.00000000e-02   1.31000000e+00   3.25319368e-04   3.63207728e-17   3.94784176e+01  -9.03275935e-18   3.68711987e+01 
133          1.00000000e-02   1.32000000e+00   3.27675167e-04   3.75133952e-17   3.94784176e+01   6.76948731e-18   3.68711987e+01 
134          1.00000000e-02   1.33000000e+00   3.30136022e-04   3.74049750e-17   3.94784176e+01  -1.32950291e-17   3.68711987e+01 
135          1.00000000e-02   1.34000000e+00   3.32542618e-04   3.64291930e-17   3.94784176e+01  -1.89328804e-17   3.68711987e+01 
136          1.00000000e-02   1.35000000e+00   3.35002745e-04   3.70797143e-17   3.94784176e+01  -2.35949498e-17   3.68711987e+01 
137          1.00000000e-02   1.36000000e+00   3.37463468e-04   3.64291930e-17   3.94784176e+01  -2.25852865e-17   3.68711987e+01 
138          1.00000000e-02   1.37000000e+00   3.39918741e-04   3.88144378e-17   3.94784176e+01  -9.37834879e-18   3.68711987e+01 
139          1.00000000e-02   1.38000000e+00   3.42434787e-04   3.53449908e-17   3.94784176e+01  -1.56192875e-17   3.68711987e+01 
140          1.00000000e-02   1.39000000e+00   3.44893418e-04   3.55618313e-17   3.94784176e+01  -3.52026893e-17   3.68711987e+01 
141          1.00000000e-02   1.40000000e+00   3.47455793e-04   3.75133952e-17   3.94784176e+01  -1.69338827e-17   3.68711987e+01 
142          1.00000000e-02   1.41000000e+00   3.49970123e-04   4.16333634e-17   3.94784176e+01  -3.87195701e-17   3.68711987e+01 
143          1.00000000e-02   1.42000000e+00   3.52525672e-04   4.46691295e-17   3.94784176e+01  -2.61902587e-17   3.68711987e+01 
144          1.00000000e-02   1.43000000e+00   3.55096959e-04   3.82994417e-17   3.94784176e+01  -5.39390581e-18   3.68711987e+01 
145          1.00000000e-02   1.44000000e+00   3.57643581e-04   3.64291930e-17   3.94784176e+01  -4.87890978e-19   3.68711987e+01 
146          1.00000000e-02   1.45000000e+00   3.60273128e-04   4.07117916e-17   3.94784176e+01  -1.08623505e-17   3.68711987e+01 
147          1.00000000e-02   1.46000000e+00   3.62840793e-04   3.77708932e-17   3.94784176e+01   5.82758668e-19   3.68711987e+01 
148          1.00000000e-02   1.47000000e+00   3.65497798e-04   3.75133952e-17   3.94784176e+01  -1.91836022e-17   3.68711987e+01 
149          1.00000000e-02   1.48000000e+00   3.68124066e-04   3.55618313e-17   3.94784176e+01  -2.87110288e-17   3.68711987e+01 
150          1.00000000e-02   1.49000000e+00   3.70770102e-04   3.52365706e-17   3.94784176e+01  -9.74426703e-18   3.68711987e+01 
151          1.00000000e-02   1.50000000e+00   3.73456348e-04   3.65376132e-17   3.94784176e+01   9.81880592e-18   3.68711987e+01 
152          1.00000000e-02   1.51000000e+00   3.76089134e-04   3.64291930e-17   3.94784176e+01   9.01920682e-18   3.68711987e+01 
153          1.00000000e-02   1.52000000e+00   3.78836787e-04   3.65376132e-17   3.94784176e+01  -1.23734573e-17   3.68711987e+01 
154          1.00000000e-02   1.53000000e+00   3.81517451e-04   3.94649591e-17   3.94784176e+01  -6.32903018e-18   3.68711987e+01 
155          1.00000000e-02   1.54000000e+00   3.84264487e-04   3.58125530e-17   3.94784176e+01  -1.63036902e-17   3.68711987e+01 
156          1.00000000e-02   1.55000000e+00   3.87006875e-04   3.62123526e-17   3.94784176e+01  -1.60461922e-17   3.68711987e+01 
157          1.00000000e-02   1.56000000e+00   3.89738510e-04   3.77844457e-17   3.94784176e+01  -7.43356115e-18   3.68711987e+01 
158          1.00000000e-02   1.57000000e+00   3.92544136e-04   3.83807569e-17   3.94784176e+01  -1.13773465e-17   3.68711987e+01 
159          1.00000000e-02   1.58000000e+00   3.95278266e-04   3.62936677e-17   3.94784176e+01  -1.38235777e-17   3.68711987e+01 
160          1.00000000e-02   1.59000000e+00   3.98128307e-04   3.70797143e-17   3.94784176e+01  -3.28648784e-17   3.68711987e+01 
161          1.00000000e-02   1.60000000e+00   4.00925942e-04   3.91396984e-17   3.94784176e+01  -3.17467949e-17   3.68711987e+01 
162          1.00000000e-02   1.61000000e+00   4.03758412e-04   3.77302356e-17   3.94784176e+01  -3.70593855e-17   3.68711987e+01 
163          1.00000000e-02   1.62000000e+00   4.06621159e-04   3.83807569e-17   3.94784176e+01   7.12862928e-18   3.68711987e+01 
164          1.00000000e-02   1.63000000e+00   4.09433416e-04   3.75133952e-17   3.94784176e+01  -1.19939865e-17   3.68711987e+01 
165          1.00000000e-02   1.64000000e+00   4.12541729e-04   3.59955121e-17   3.94784176e+01  -2.19957516e-17   3.68711987e+01 
166          1.00000000e-02   1.65000000e+00   4.15646568e-04   3.70797143e-17   3.94784176e+01  -1.46028480e-17   3.68711987e+01 
167          1.00000000e-02   1.66000000e+00   4.18880846e-04   3.57786717e-17   3.94784176e+01  -6.15284733e-18   3.68711987e+01 
168          1.00000000e-02   1.67000000e+00   4.22042921e-04   3.79470760e-17   3.94784176e+01   7.38612730e-18   3.68711987e+01 
