actuator_ROM 240 80 5.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
85           2.50000000e-02   2.10000000e+00   1.38231317e-03   4.36662425e-17   4.75006476e+01  -3.39702563e-17   2.37802711e+01 
86           2.50000000e-02   2.12500000e+00   1.37798043e-03   4.14707331e-17   4.74927599e+01  -7.87910048e-18   2.37720306e+01 
87           2.50000000e-02   2.15000000e+00   1.38751337e-03   4.46691295e-17   4.74844443e+01  -1.82592775e-17   2.37633849e+01 
88           2.50000000e-02   2.17500000e+00   1.39094042e-03   5.10659223e-17   4.74757159e+01   2.43521972e-19   2.37543540e+01 
89           2.50000000e-02   2.20000000e+00   1.39093397e-03   5.56737816e-17   4.74665928e+01  -2.54554576e-18   2.37449602e+01 
90           2.50000000e-02   2.22500000e+00   1.40208029e-03   6.00648004e-17   4.74570949e+01  -3.13336545e-17   2.37352279e+01 
91           2.50000000e-02   2.25000000e+00   1.39268382e-03   5.20417043e-17   4.74472451e+01  -1.23016713e-17   2.37251835e+01 
92           2.50000000e-02   2.27500000e+00   1.41148042e-03   4.48859699e-17   4.74370680e+01  -3.25048894e-18   2.37148551e+01 
93           2.50000000e-02   2.30000000e+00   1.39746466e-03   6.02816408e-17   4.74265905e+01  -2.09911705e-17   2.37042721e+01 
94           2.50000000e-02   2.32500000e+00   1.41921535e-03   6.63531730e-17   4.74158413e+01  -9.18416649e-18   2.36934651e+01 
95           2.50000000e-02   2.35000000e+00   1.41242533e-03   9.13982431e-17   4.74048507e+01  -2.05913709e-17   2.36824660e+01 
96           2.50000000e-02   2.37500000e+00   1.42535446e-03   8.71698547e-17   4.73936508e+01  -1.15168952e-17   2.36713070e+01 
97           2.50000000e-02   2.40000000e+00   1.42582054e-03   6.41847686e-17   4.73822746e+01   2.35900793e-17   2.36600212e+01 
98           2.50000000e-02   2.42500000e+00   1.42996267e-03   5.20417043e-17   4.73707566e+01  -4.57806485e-17   2.36486419e+01 
99           2.50000000e-02   2.45000000e+00   1.43768209e-03   4.68375339e-17   4.73591319e+01  -1.18097569e-17   2.36372023e+01 
100          2.50000000e-02   2.47500000e+00   1.43310134e-03   5.98479599e-17   4.73474366e+01  -2.46380709e-18   2.36257360e+01 
101          2.50000000e-02   2.50000000e+00   1.44804019e-03   6.24500451e-17   4.73357069e+01  -3.37775564e-18   2.36142759e+01 
102          2.50000000e-02   2.52500000e+00   1.43482901e-03   5.72458747e-17   4.73239795e+01  -9.19454264e-18   2.36028546e+01 
103          2.50000000e-02   2.55000000e+00   1.45692427e-03   7.19910243e-17   4.73122909e+01  -2.83440518e-17   2.35915043e+01 
104          2.50000000e-02   2.57500000e+00   1.44446585e-03   5.84384971e-17   4.73006777e+01  -7.31836466e-18   2.35802563e+01 
105          2.50000000e-02   2.60000000e+00   1.46436373e-03   4.75964754e-17   4.72891756e+01  -1.64273570e-17   2.35691412e+01 
106          2.50000000e-02   2.62500000e+00   1.45878267e-03   5.85469173e-17   4.72778202e+01   1.15107542e-17   2.35581884e+01 
107          2.50000000e-02   2.65000000e+00   1.47038874e-03   9.36750677e-17   4.72666457e+01   4.40654068e-17   2.35474265e+01 
108          2.50000000e-02   2.67500000e+00   1.47168917e-03   6.83047369e-17   4.72556854e+01   1.53101205e-17   2.35368828e+01 
109          2.50000000e-02   2.70000000e+00   1.47503091e-03   5.29090660e-17   4.72449715e+01  -6.07911311e-17   2.35265834e+01 
110          2.50000000e-02   2.72500000e+00   1.48318547e-03   4.94396191e-17   4.72345344e+01   2.24590786e-18   2.35165529e+01 
111          2.50000000e-02   2.75000000e+00   1.47832388e-03   4.85722573e-17   4.72244030e+01   3.71822053e-17   2.35068146e+01 
112          2.50000000e-02   2.77500000e+00   1.49327603e-03   4.98732999e-17   4.72146043e+01   1.24937360e-18   2.34973903e+01 
113          2.50000000e-02   2.80000000e+00   1.48030375e-03   4.68375339e-17   4.72051633e+01   2.13537006e-17   2.34883002e+01 
114          2.50000000e-02   2.82500000e+00   1.50197012e-03   3.81639165e-17   4.71961027e+01   1.92136719e-17   2.34795628e+01 
115          2.50000000e-02   2.85000000e+00   1.48714764e-03   4.77048956e-17   4.71874430e+01  -1.86194782e-17   2.34711950e+01 
116          2.50000000e-02   2.87500000e+00   1.50928224e-03   5.20417043e-17   4.71792023e+01  -4.08934801e-17   2.34632118e+01 
117          2.50000000e-02   2.90000000e+00   1.50094701e-03   4.38017678e-17   4.71713960e+01  -1.16632202e-17   2.34556263e+01 
118          2.50000000e-02   2.92500000e+00   1.51523222e-03   5.29090660e-17   4.71640369e+01  -4.02213595e-18   2.34484499e+01 
119          2.50000000e-02   2.95000000e+00   1.51335213e-03   3.64291930e-17   4.71571353e+01  -1.02842505e-17   2.34416917e+01 
120          2.50000000e-02   2.97500000e+00   1.51984529e-03   3.77302356e-17   4.71506983e+01   4.00553410e-17   2.34353590e+01 
121          2.50000000e-02   3.00000000e+00   1.52436216e-03   3.64291930e-17   4.71447305e+01  -3.59637484e-17   2.34294567e+01 
122          2.50000000e-02   3.02500000e+00   1.52315186e-03   3.51281504e-17   4.71392335e+01   2.30583544e-17   2.34239878e+01 
123          2.50000000e-02   3.05000000e+00   1.53398403e-03   3.23092247e-17   4.71342060e+01   1.37130399e-17   2.34189526e+01 
124          2.50000000e-02   3.07500000e+00   1.52588886e-03   3.20923843e-17   4.71296441e+01  -5.03014751e-17   2.34143494e+01 
125          2.50000000e-02   3.10000000e+00   1.54223213e-03   3.06829215e-17   4.71255407e+01  -5.63399730e-17   2.34101741e+01 
126          2.50000000e-02   3.12500000e+00   1.53370404e-03   3.64291930e-17   4.71218862e+01  -5.90644544e-17   2.34064199e+01 
127          2.50000000e-02   3.15000000e+00   1.54912783e-03   3.10081821e-17   4.71186681e+01   3.27293531e-17   2.34030778e+01 
128          2.50000000e-02   3.17500000e+00   1.54036260e-03   3.64291930e-17   4.71158713e+01   1.53990590e-17   2.34001363e+01 
129          2.50000000e-02   3.20000000e+00   1.55469890e-03   3.08387755e-17   4.71134783e+01  -3.61873651e-17   2.33975812e+01 
130          2.50000000e-02   3.22500000e+00   1.54588612e-03   3.10081821e-17   4.71114689e+01   4.70738560e-17   2.33953960e+01 
131          2.50000000e-02   3.25000000e+00   1.55897884e-03   3.04389760e-17   4.71098207e+01   4.78039984e-17   2.33935617e+01 
