LDC_unsteady 100 100 1.000e+02
residual and conservation information
n            dt               t                res              maxdiv           umom             vmom             k
95           2.50000000e-03   2.35000000e-01   9.60464055e-05   9.35015954e-16  -1.42957139e-15   3.06054688e-15   1.34648402e-02 
96           2.50000000e-03   2.37500000e-01   9.50594229e-05   9.43255890e-16  -1.34702294e-15   3.07307619e-15   1.35254759e-02 
97           2.50000000e-03   2.40000000e-01   9.40868789e-05   9.52796869e-16  -1.38202573e-15   3.08490077e-15   1.35856648e-02 
98           2.50000000e-03   2.42500000e-01   9.31285325e-05   9.61470487e-16  -1.36543405e-15   3.10064542e-15   1.36454141e-02 
99           2.50000000e-03   2.45000000e-01   9.21841442e-05   9.69710423e-16  -1.43780116e-15   3.11241579e-15   1.37047306e-02 
100          2.50000000e-03   2.47500000e-01   9.12534761e-05   9.79685083e-16  -1.43004911e-15   3.12346787e-15   1.37636210e-02 
101          2.50000000e-03   2.50000000e-01   9.03362920e-05   9.87057658e-16  -1.36174438e-15   3.13475374e-15   1.38220921e-02 
102          2.50000000e-03   2.52500000e-01   8.94323584e-05   9.98767041e-16  -1.42512277e-15   3.14889919e-15   1.38801502e-02 
103          2.50000000e-03   2.55000000e-01   8.85414439e-05   1.01004274e-15  -1.46447931e-15   3.16628370e-15   1.39378014e-02 
104          2.50000000e-03   2.57500000e-01   8.76633199e-05   1.01741532e-15  -1.56680089e-15   3.17814216e-15   1.39950520e-02 
105          2.50000000e-03   2.60000000e-01   8.67977605e-05   1.02652262e-15  -1.58539157e-15   3.18997351e-15   1.40519079e-02 
106          2.50000000e-03   2.62500000e-01   8.59445432e-05   1.03562992e-15  -1.61169702e-15   3.20488807e-15   1.41083748e-02 
107          2.50000000e-03   2.65000000e-01   8.51034480e-05   1.04647194e-15  -1.70502650e-15   3.21416139e-15   1.41644585e-02 
108          2.50000000e-03   2.67500000e-01   8.42742588e-05   1.05904868e-15  -1.62783469e-15   3.22460700e-15   1.42201644e-02 
109          2.50000000e-03   2.70000000e-01   8.34567623e-05   1.06642126e-15  -1.52227745e-15   3.24287241e-15   1.42754980e-02 
110          2.50000000e-03   2.72500000e-01   8.26507487e-05   1.07552856e-15  -1.53839140e-15   3.25409391e-15   1.43304645e-02 
111          2.50000000e-03   2.75000000e-01   8.18560118e-05   1.08246745e-15  -1.75068835e-15   3.26930662e-15   1.43850691e-02 
112          2.50000000e-03   2.77500000e-01   8.10723487e-05   1.09244211e-15  -1.56361943e-15   3.28185965e-15   1.44393168e-02 
113          2.50000000e-03   2.80000000e-01   8.02995601e-05   1.10111573e-15  -1.59047038e-15   3.29673016e-15   1.44932125e-02 
114          2.50000000e-03   2.82500000e-01   7.95374501e-05   1.11239143e-15  -1.74064254e-15   3.30666416e-15   1.45467611e-02 
115          2.50000000e-03   2.85000000e-01   7.87858264e-05   1.12279977e-15  -1.71021034e-15   3.32383182e-15   1.45999672e-02 
116          2.50000000e-03   2.87500000e-01   7.80445002e-05   1.13017234e-15  -1.66638147e-15   3.33426727e-15   1.46528354e-02 
117          2.50000000e-03   2.90000000e-01   7.73132861e-05   1.14014700e-15  -1.72651742e-15   3.34404881e-15   1.47053702e-02 
118          2.50000000e-03   2.92500000e-01   7.66368142e-05   1.14925430e-15  -1.60479540e-15   3.35294604e-15   1.47575760e-02 
119          2.50000000e-03   2.95000000e-01   7.60234452e-05   1.15879528e-15  -1.75506243e-15   3.36717281e-15   1.48094572e-02 
120          2.50000000e-03   2.97500000e-01   7.54165107e-05   1.16486681e-15  -1.65602056e-15   3.38021373e-15   1.48610179e-02 
121          2.50000000e-03   3.00000000e-01   7.48159460e-05   1.17570884e-15  -1.74183855e-15   3.39463023e-15   1.49122622e-02 
122          2.50000000e-03   3.02500000e-01   7.42216854e-05   1.18568350e-15  -1.72926520e-15   3.40546208e-15   1.49631942e-02 
123          2.50000000e-03   3.05000000e-01   7.36336626e-05   1.19695920e-15  -1.73161317e-15   3.41889941e-15   1.50138178e-02 
124          2.50000000e-03   3.07500000e-01   7.30518108e-05   1.20476545e-15  -1.77160329e-15   3.43057830e-15   1.50641370e-02 
